movie_id,imdb_id,tmdb_id,rating,average_rating,title
32,0114746,63,3.5,3.89616,Twelve Monkeys (1995)
111,0075314,103,3.0,4.08061,Taxi Driver (1976)
215,0112471,76,4.5,3.94328,Before Sunrise (1995)
500,0107614,788,4.0,3.39695,Mrs. Doubtfire (1993)
515,0107943,1245,0.5,3.89135,The Remains of the Day (1993)
541,0083658,78,1.5,4.1115,Blade Runner (1982)
593,0102926,274,2.0,4.14956,The Silence of the Lambs (1991)
1247,0061722,37247,3.5,4.01898,The Graduate (1967)
1265,0107048,137,4.0,3.90258,Groundhog Day (1993)
1359,0116705,9279,3.0,2.61246,Jingle All the Way (1996)
1483,0115964,884,1.0,3.14835,Crash (1996)
1682,0120382,37165,4.0,3.89101,The Truman Show (1998)
1732,0118715,115,3.5,3.98996,The Big Lebowski (1998)
1921,0138704,473,0.5,3.73214,Pi (1998)
2025,0119558,9769,4.0,3.4981,Lolita (1997)
2571,0133093,603,3.5,4.16013,The Matrix (1999)
2797,0094737,2280,4.0,3.61143,Big (1988)
2810,0156887,10494,3.0,3.97581,Perfect Blue (1997)
2916,0100802,861,3.5,3.6301,Total Recall (1990)
2918,0091042,9377,4.0,3.90983,Ferris Bueller's Day Off (1986)
2950,0080453,5689,3.5,2.59367,The Blue Lagoon (1980)
2959,0137523,550,5.0,4.23547,Fight Club (1999)
2997,0120601,492,3.5,3.93308,Being John Malkovich (1999)
3036,0082484,62204,4.0,3.30493,Quest for Fire (1981)
3949,0180093,641,2.0,3.98826,Requiem for a Dream (2000)
4226,0209144,77,4.0,4.14276,Memento (2000)
4306,0126029,808,1.5,3.74602,Shrek (2001)
4370,0212720,644,2.5,3.29081,A.I. Artificial Intelligence (2001)
4823,0240890,9778,3.5,3.3696,Serendipity (2001)
4873,0243017,9081,3.5,3.85042,Waking Life (2001)
4878,0246578,141,1.0,3.94142,Donnie Darko (2001)
4886,0198781,585,2.0,3.83837,"Monsters, Inc. (2001)"
4973,0211915,194,3.0,4.08731,Amélie (2001)
4979,0265666,9428,1.0,3.78415,The Royal Tenenbaums (2001)
5666,0292644,1809,1.0,3.29086,The Rules of Attraction (2002)
5971,0096283,8392,3.0,4.16188,My Neighbor Totoro (1988)
6377,0266543,12,2.0,3.81924,Finding Nemo (2003)
6593,0322330,10330,3.0,3.05135,Freaky Friday (2003)
6669,0044741,3782,4.0,4.1149,Ikiru (1952)
6711,0335266,153,3.5,3.79746,Lost in Translation (2003)
6936,0319343,10719,3.0,3.3502,Elf (2003)
7099,0087544,81,3.0,4.10757,Nausicaä of the Valley of the Wind (1984)
7361,0338013,38,5.0,4.06929,Eternal Sunshine of the Spotless Mind (2004)
7451,0377092,10625,3.5,3.60116,Mean Girls (2004)
8376,0374900,8193,1.0,3.37637,Napoleon Dynamite (2004)
8529,0362227,594,4.0,3.61705,The Terminal (2004)
8607,0388473,13398,3.0,3.89982,Tokyo Godfathers (2003)
8638,0381681,80,2.5,4.00439,Before Sunset (2004)
8784,0333766,401,3.5,3.72197,Garden State (2004)
8914,0390384,14337,3.0,3.81226,Primer (2004)
8949,0375063,9675,1.0,3.64819,Sideways (2004)
8961,0317705,9806,2.5,3.84674,The Incredibles (2004)
26662,0097814,16859,3.0,4.04191,Kiki's Delivery Service (1989)
27156,0169858,18491,3.0,4.03284,Neon Genesis Evangelion: The End of Evangelion (1997)
27731,0347618,15370,2.5,3.73029,The Cat Returns (2002)
27904,0405296,3509,3.0,3.61117,A Scanner Darkly (2006)
32562,0382734,21131,3.5,3.69528,Harvie Krumpet (2003)
46062,0475293,10947,3.0,2.62867,High School Musical (2006)
46976,0420223,1262,2.5,3.78058,Stranger Than Fiction (2006)
47997,0387808,7512,3.5,3.41428,Idiocracy (2006)
48082,0354899,300,3.5,3.71454,The Science of Sleep (2006)
49910,0463998,1646,2.0,3.69482,Freedom Writers (2007)
52885,0851578,4977,3.0,3.91611,Paprika (2006)
55167,0831888,13754,3.5,3.7492,Tekkonkinkreet (2006)
56715,0477139,13198,3.5,3.79603,Wristcutters: A Love Story (2007)
57504,0808506,14069,4.0,3.90703,The Girl Who Leapt Through Time (2006)
57509,0837803,15053,3.0,2.76415,Sex and Breakfast (2007)
58293,0443649,7840,1.0,2.52765,"10,000 BC (2008)"
58998,0800039,9870,1.0,3.56721,Forgetting Sarah Marshall (2008)
59369,0936501,8681,3.5,3.72668,Taken (2008)
59387,0460791,14784,2.0,3.91286,The Fall (2006)
60069,0910970,10681,2.5,4.01164,WALL·E (2008)
62511,0383028,4960,2.5,3.8585,"Synecdoche, New York (2008)"
68237,1182345,17431,4.0,4.01045,Moon (2009)
68954,1049413,14160,1.5,3.95813,Up (2009)
69606,0821640,12556,3.5,2.88399,Ghosts of Girlfriends Past (2009)
72011,1193138,22947,4.0,3.67679,Up in the Air (2009)
72226,0432283,10315,3.5,3.89324,Fantastic Mr. Fox (2009)
78039,1120985,46705,1.0,3.68595,Blue Valentine (2010)
78703,1179794,39545,1.5,3.36548,TiMER (2009)
79132,1375666,27205,1.5,4.17389,Inception (2010)
86882,1605783,59436,2.0,3.77394,Midnight in Paris (2011)
88163,1570728,50646,3.5,3.74517,"Crazy, Stupid, Love. (2011)"
92439,1645080,64678,0.5,3.34911,The Art of Getting By (2011)
94959,1748122,83666,3.5,3.96398,Moonrise Kingdom (2012)
95088,1862079,84332,3.5,3.54674,Safety Not Guaranteed (2012)
95873,1839492,103332,2.0,3.63799,Ruby Sparks (2012)
97921,1045658,82693,3.0,3.69854,Silver Linings Playbook (2012)
99764,2396224,147538,5.0,4.04063,It's Such a Beautiful Day (2012)
99917,2084989,145197,2.5,3.58607,Upstream Color (2013)
100714,2209418,132344,2.5,3.96291,Before Midnight (2013)
103539,1714206,157386,1.5,3.61719,The Spectacular Now (2013)
104863,1486834,212716,2.5,3.48328,What If (2013)
106920,1798709,152601,4.0,3.90676,Her (2013)
108977,0433722,313289,3.5,3.87283,Paranoia Agent (2004)
109187,2333804,157834,0.5,3.2786,The Zero Theorem (2013)
109189,2318092,226857,2.0,3.54279,Endless Love (2014)
109374,2278388,120467,1.0,4.03284,The Grand Budapest Hotel (2014)
109633,2591814,198375,1.0,3.78629,The Garden of Words (2013)
111360,2872732,240832,2.0,3.11439,Lucy (2014)
112290,1065073,85350,3.5,3.79864,Boyhood (2014)
112556,2267998,210577,3.0,3.95798,Gone Girl (2014)
115667,1638002,200727,2.5,3.7704,"Love, Rosie (2014)"
115713,0470752,264660,2.5,3.99029,Ex Machina (2015)
116797,2084970,205596,2.5,4.00597,The Imitation Game (2014)
127202,2582496,308369,4.0,3.846,Me and Earl and the Dying Girl (2015)
128512,3622592,286565,3.5,3.16234,Paper Towns (2015)
133771,3464902,254320,2.5,3.66496,The Lobster (2015)
139855,2401878,291270,3.5,3.57113,Anomalisa (2015)
144482,3118452,335866,1.5,3.244,Circle (2015)
148881,4171032,303867,1.5,3.99601,World of Tomorrow (2015)
157373,2078648,86517,5.0,4.15588,It's Such a Beautiful Day (2011)
159415,4034354,347031,5.0,3.50022,Swiss Army Man (2016)
161922,1878870,376660,4.0,3.69873,The Edge of Seventeen (2016)
163134,5311514,372058,5.0,4.15563,Your Name. (2016)
166291,5323662,378064,4.0,4.02163,A Silent Voice: The Movie (2016)
169252,0887734,32532,5.0,4.02736,Everything Will Be OK (2006)
169792,2989524,317560,2.0,3.40659,Carrie Pilby (2017)
170635,0234588,32536,2.5,3.8551,Rejected (2000)
171253,5805752,403431,4.5,3.69199,Brigsby Bear (2017)
172667,4882376,433247,1.0,3.73039,First They Killed My Father (2017)
174703,1282053,32534,5.0,4.15534,I Am So Proud of You (2008)
177615,4925292,391713,2.5,3.79921,Lady Bird (2017)
179881,1389072,301337,1.0,2.78852,Downsizing (2017)
181077,4955566,436459,0.5,2.94595,Almost Friends (2017)
183437,7278178,471495,1.5,3.97753,World of Tomorrow Episode Two: The Burden of Other People's Thoughts (2017)
185353,0123374,32529,1.0,2.93939,"Ah, l'Amour (1994)"
190257,0123860,32533,2.0,3.3,Genre (1995)
190259,0123970,32535,1.5,3.45714,Lily and Jim (1997)
190367,0440972,32539,1.5,3.60976,The Meaning of Life (2005)
194951,2737304,405774,3.5,3.23057,Bird Box (2018)
195463,6676028,448447,0.5,2.72917,In a Relationship (2018)
201200,8075260,515248,1.0,3.02098,Someone Great (2019)
204158,9426210,568160,2.0,3.78345,Weathering with You (2019)
205441,7653254,492188,1.5,3.79944,Marriage Story (2019)
206246,8228288,619264,3.5,3.61453,The Platform (2019)
212373,7939766,500840,1.0,3.47656,I'm Thinking of Ending Things (2020)
223638,11394182,653578,3.0,3.5177,Feels Good Man (2020)
239428,3797512,595813,2.0,3.0614,Barb & Star Go to Vista Del Mar (2021)
239490,11080108,672647,3.5,3.53265,The Map of Tiny Perfect Things (2021)
249200,9730822,802119,1.0,2.94118,All About Sex (2021)
249724,12837488,729775,2.5,4.0,World of Tomorrow Episode Three: The Absent Destinations of David Prime (2020)
254464,12735338,579741,3.0,3.55556,Words Bubble Up Like Soda Pop (2021)
260667,2953050,568124,3.0,3.60744,Encanto (2021)
263407,11286314,646380,3.0,3.43277,Don't Look Up (2021)
270698,6710474,545611,3.5,4.08222,Everything Everywhere All at Once (2022)
279402,10687116,1027014,0.5,3.4,Entergalactic (2022)
